GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TD_TES,pack,Panier,118,55,12,8,30,14,16,8,10,4
TD_TES,pack,Orange,37,35,4,4,8,10,6,5,3,4
